,total_cup_points,species,owner,country_of_origin,company,altitude,region,producer,number_of_bags,bag_weight,in_country_partner,harvest_year,grading_date,owner_1,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration,certification_body,certification_address,certification_contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters,volume
171,84.42,Arabica,max gurdian,Costa Rica,beneficios volcafé costa rica,1300,tarrazu,Beneficio San Diego,275,69.0,Specialty Coffee Association of Costa Rica,2016,"March 23rd, 2017",Max Gurdian,Caturra,Washed / Wet,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,10.0,7.92,0.1,0,0.0,Blue-Green,3,"March 23rd, 2018",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1300.0,1300.0,1300.0,18975
172,84.42,Arabica,aulia arif syahri,Indonesia,pt. olam indonesia,1400,sumatra brastagi,Surbakti,200,30.0,Specialty Coffee Association,2017,"March 14th, 2017",Aulia Arif Syahri,Mandheling,Other,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,10.0,8.0,0.0,0,0.0,Blue-Green,3,"March 14th, 2018",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1400.0,1400.0,1400.0,6000
173,84.42,Arabica,carcafe ltda ci,Colombia,carcafe ltda,,pitalito,FRANKLIN DUSSAN,304,35.0,Almacafé,2015/2016,"January 25th, 2016",CARCAFE LTDA CI,Caturra,Natural / Dry,7.92,7.83,7.75,7.67,7.92,7.67,10.0,10.0,10.0,7.67,0.0,0,0.0,Green,1,"January 24th, 2017",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,,,,10640
174,84.42,Arabica,racafe & cia s.c.a,Colombia,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,275,70.0,Almacafé,2014,"July 9th, 2014",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,10.0,7.75,0.0,0,0.0,Green,3,"July 9th, 2015",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600.0,1950.0,1775.0,19250
175,84.42,Arabica,kao ming lee,Taiwan,tropica galliard,1200m,"mountain ali, taiwan",Kao Ming Lee,2,2.0,Specialty Coffee Association,2012,"July 10th, 2013",Kao Ming Lee,Typica,Washed / Wet,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.75,0.11,0,0.0,Blue-Green,0,"July 10th, 2014",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1200.0,1200.0,1200.0,4
176,84.42,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,,kona,,5,45.300000000000004,Specialty Coffee Association,2012,"January 21st, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.92,7.92,7.5,7.83,7.5,7.92,10.0,10.0,10.0,7.83,0.11,0,0.0,Blue-Green,1,"January 21st, 2014",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,,,,226
177,84.42,Arabica,maria amalia guadalupe toriello elorza,Mexico,finca hamburgo,900,tapachula,MARIA AMALIA GUADALUPE TORIELLO ELORZA,69,1.0,AMECAFE,2012,"June 6th, 2012",MARIA AMALIA GUADALUPE TORIELLO ELORZA,Pacamara,Washed / Wet,7.75,7.92,7.75,7.67,7.83,7.67,10.0,10.0,10.0,7.83,0.12,2,0.0,,4,"June 6th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,900.0,900.0,900.0,69
178,84.42,Arabica,ethiopia commodity exchange,Ethiopia,,,limu,"Contact name | Egziabhez Mezgebe, GMT Industrial Plc",360,6.0,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,,,7.5,7.75,7.83,7.92,7.92,7.75,10.0,10.0,10.0,7.75,0.2,0,0.0,,2,"June 17th, 2011",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m,,,,2160
179,84.33,Arabica,lydiah mwangi,Kenya,c dorman ltd,1800,nyeri,mutheka,150,60.0,Kenya Coffee Traders Association,2017 / 2018,"August 3rd, 2017",Lydiah Mwangi,SL28,Washed / Wet,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,10.0,8.17,0.11,0,0.0,Green,4,"August 3rd, 2018",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1800.0,1800.0,1800.0,9000
180,84.33,Arabica,bismarck castro,Honduras,cigrah s.a de c.v,1500,comayagua,Nahun Maldonado,275,66.0,Instituto Hondureño del Café,2016,"May 11th, 2017",Bismarck Castro,Caturra,,7.92,8.0,7.75,7.67,7.67,7.75,10.0,10.0,10.0,7.58,0.1,0,0.0,Green,3,"May 11th, 2018",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1500.0,1500.0,1500.0,18150
181,84.33,Arabica,raúl vargas,Colombia,skn caribecafe ltda,,huila,,275,70.0,Almacafé,2016,"February 20th, 2017",Raúl Vargas,Caturra,Washed / Wet,7.58,7.75,7.5,7.83,7.67,8.5,10.0,10.0,10.0,7.5,0.0,0,3.0,Green,5,"February 20th, 2018",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,,,,19250
182,84.33,Arabica,bismarck castro,Honduras,cigrah s.a de c.v,1500,central region,Reinerio Zepeda,275,69.0,Instituto Hondureño del Café,2016,"April 4th, 2016",Bismarck Castro,Catuai,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,10.0,7.83,0.11,0,1.0,Green,2,"April 4th, 2017",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1500.0,1500.0,1500.0,18975
183,84.33,Arabica,racafe & cia s.c.a,Colombia,racafe & cia s.c.a,,la plata,,275,70.0,Almacafé,2016,"February 16th, 2016",Racafe & Cia S.C.A,,,7.67,7.67,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.83,0.0,0,2.0,,4,"February 15th, 2017",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,,,,19250
184,84.33,Arabica,carcafe ltda ci,Colombia,carcafe ltda,442 msnm,huila,FRANKLIN DUSSAN / ANDRES RODRIGUEZ/HIPOLITO TORRES,250,70.0,Almacafé,2015,"April 29th, 2015",CARCAFE LTDA CI,Caturra,Natural / Dry,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,10.0,7.33,0.11,6,0.0,Green,0,"April 28th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,442.0,442.0,442.0,17500
185,84.33,Arabica,exportadora de cafe condor s.a,Colombia,exportadora de cafe condor s.a,1800,huila,,275,70.0,Almacafé,2013,"July 19th, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,10.0,8.17,0.0,0,0.0,Green,0,"July 19th, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800.0,1800.0,1800.0,19250
186,84.33,Arabica,victor hugo melchor cordova,Mexico,,1700,tuxtla gutierrez,VICTOR HUGO MELCHOR CORDOVA,100,80.0,AMECAFE,2012,"July 27th, 2012",VICTOR HUGO MELCHOR CORDOVA,Typica,Washed / Wet,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,10.0,7.83,0.12,0,0.0,Blue-Green,1,"July 27th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1700.0,1700.0,1700.0,8000
187,84.33,Arabica,nucoffee,Brazil,,1200m to 1350m,vale da grama,Lucia Maria da Silva Dias,75,60.0,NUCOFFEE,2011,"October 28th, 2011",NUCOFFEE,Yellow Bourbon,,8.17,8.0,7.5,7.75,7.5,7.67,10.0,10.0,10.0,7.75,0.0,0,0.0,,4,"October 27th, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1200.0,1350.0,1275.0,4500
188,84.33,Arabica,nucoffee,Brazil,,900-1200m,south of minas,Antônio Pelucio,80,60.0,NUCOFFEE,2011,"October 28th, 2011",NUCOFFEE,,,8.0,8.0,7.5,7.5,7.67,7.75,10.0,10.0,10.0,7.92,0.02,0,0.0,,2,"October 27th, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,900.0,1200.0,1050.0,4800
189,84.33,Arabica,benjamin schmerler,Ethiopia,,3600-6200 ft,limu,Oromia Coffee Farmers Cooperative Union,1,59.796,Specialty Coffee Association,,"June 14th, 2011",Benjamin Schmerler,,,7.75,7.75,7.92,7.75,7.5,7.92,10.0,10.0,10.0,7.75,0.0,0,0.0,,1,"June 13th, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,1097.28,1889.76,1493.52,59
190,84.33,Arabica,the coffee source inc.,Guatemala,,4400-4700 ft,nuevo oriente,Miguel Hernandez,250,1.0,Specialty Coffee Association,December 2009-March 2010,"April 30th, 2010",The Coffee Source Inc.,,,7.5,7.67,7.75,7.67,7.92,7.92,10.0,10.0,10.0,7.92,0.04,1,0.0,,1,"April 30th, 2011",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,1341.12,1432.56,1386.84,250
191,84.25,Arabica,"lin, che-hao krude 林哲豪",Taiwan,taiwan coffee laboratory,1000,國姓鄉 guoshing township,黃美桃 Huang Mei Tao,10,5.0,Specialty Coffee Association,2016,"August 10th, 2017","Lin, Che-Hao Krude 林哲豪",Typica,Washed / Wet,7.92,7.75,7.75,7.67,7.67,7.83,10.0,10.0,10.0,7.67,0.12,0,0.0,Blue-Green,0,"August 10th, 2018",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1000.0,1000.0,1000.0,50
192,84.25,Arabica,松澤宏樹 koju matsuzawa,Thailand,matsuzawa coffee,1200,chiang rai thailand,Matsuzawa Coffee,20,25.0,Specialty Coffee Institute of Asia,2015,"November 2nd, 2016",松澤宏樹 Koju Matsuzawa,Catimor,Natural / Dry,7.83,7.75,7.75,7.42,7.83,7.67,10.0,10.0,10.0,8.0,0.12,0,0.0,Green,0,"November 2nd, 2017",Specialty Coffee Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m,1200.0,1200.0,1200.0,500
193,84.25,Arabica,carcafe ltda ci,Colombia,carcafe ltda,2560,nariño,JOSE ALBEIRO GOMEZ,275,70.0,Almacafé,2016,"August 5th, 2016",CARCAFE LTDA CI,Caturra,Natural / Dry,7.83,7.58,7.75,7.58,7.67,8.0,10.0,10.0,10.0,7.83,0.11,0,0.0,Green,2,"August 5th, 2017",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,2560.0,2560.0,2560.0,19250
194,84.25,Arabica,juan luis alvarado romero,Guatemala,"siembras vision, s.a.",1500,antigua,FINCA MEDINA,230,69.0,Asociacion Nacional Del Café,2016,"May 23rd, 2016",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,10.0,7.75,0.11,0,4.0,Green,4,"May 23rd, 2017",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,1500.0,1500.0,1500.0,15870
195,84.25,Arabica,juan luis alvarado romero,Guatemala,exportcafe,3607,huehuetenango,HORACIO CIFUENTES MARTINEZ,275,69.0,Asociacion Nacional Del Café,2015,"April 6th, 2016",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,10.0,7.75,0.1,0,0.0,Green,1,"April 6th, 2017",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1099.4136,1099.4136,1099.4136,18975
196,84.25,Arabica,yunnan coffee exchange,China,yunnan coffee exchange,1400,yunnan,Menglian County Nayun Town Mangzhang Coffee Farm,3,60.0,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Natural / Dry,7.83,7.83,7.58,7.75,7.75,7.75,10.0,10.0,10.0,7.75,0.1,0,0.0,Green,1,"April 6th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1400.0,1400.0,1400.0,180
197,84.25,Arabica,racafe & cia s.c.a,Colombia,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,275,70.0,Almacafé,2015,"November 19th, 2015",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.75,7.75,7.67,7.92,10.0,10.0,10.0,7.83,0.11,0,0.0,Green,3,"November 18th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600.0,1950.0,1775.0,19250
198,84.25,Arabica,racafe & cia s.c.a,Colombia,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,248,70.0,Almacafé,2015,"October 26th, 2015",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.83,7.67,7.75,7.58,7.92,7.75,10.0,10.0,10.0,7.75,0.12,4,0.0,Green,2,"October 25th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600.0,1950.0,1775.0,17360
199,84.25,Arabica,federacion nacional de cafeteros,Colombia,federacion nacional de cafeteros,1800,cauca,,275,2.0,Almacafé,2015/2016,"June 5th, 2015",Federacion Nacional de Cafeteros,Other,Washed / Wet,7.83,7.75,7.83,7.58,7.67,7.75,10.0,10.0,10.0,7.83,0.12,0,0.0,Green,0,"June 4th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1800.0,1800.0,1800.0,550
200,84.25,Arabica,carcafe ltda ci,Colombia,carcafe ltda,442 msnm,huila,FRANKLIN DUSSAN/ANDRES RODRIGUEZ/HIPOLITO TORRES,250,70.0,Almacafé,2015,"April 29th, 2015",CARCAFE LTDA CI,Caturra,Natural / Dry,7.42,7.67,7.83,7.75,7.92,7.83,10.0,10.0,10.0,7.83,0.12,3,0.0,Green,0,"April 28th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,442.0,442.0,442.0,17500
201,84.25,Arabica,tembo coffee company ltd,"Tanzania, United Republic Of",tembo coffee company ltd,1620m,shizingo village,Tembo Coffee Company Ltd,10,60.0,Africa Fine Coffee Association,2014,"December 12th, 2014",Tembo Coffee Company Ltd,Other,Washed / Wet,7.83,7.67,7.75,7.83,7.67,7.67,10.0,10.0,10.0,7.83,0.12,0,0.0,Green,7,"December 12th, 2015",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1620.0,1620.0,1620.0,600
202,84.25,Arabica,taylor winch (t) ltd,"Tanzania, United Republic Of",taylor winch (t) ltd,1600,mbeya,Taylor Winch (T) ltd,65,60.0,Africa Fine Coffee Association,2014,"December 12th, 2014",Taylor Winch (T) Ltd,Other,Washed / Wet,7.83,7.75,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,0.12,0,0.0,Green,2,"December 12th, 2015",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1600.0,1600.0,1600.0,3900
203,84.25,Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",4000 psnm,oriente,AMILCAR LAPOLA,250,69.0,Asociacion Nacional Del Café,2014,"August 21st, 2014",Juan Luis Alvarado Romero,Bourbon,Other,7.83,7.83,7.5,7.92,7.58,7.75,10.0,10.0,10.0,7.83,0.1,0,0.0,Green,1,"August 21st, 2015",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1219.2,1219.2,1219.2,17250
204,84.25,Arabica,exportadora de cafe condor s.a,Colombia,exportadora de cafe condor s.a,1700,cauca,,250,70.0,Almacafé,2013,"October 1st, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.58,7.5,7.75,7.83,7.92,7.83,10.0,10.0,10.0,7.83,0.11,0,0.0,Green,2,"October 1st, 2014",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1700.0,1700.0,1700.0,17500
205,84.25,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,,kona,,7,45.300000000000004,Specialty Coffee Association,2012,"December 11th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.33,7.92,7.92,7.92,7.92,8.08,10.0,10.0,9.33,7.83,0.11,1,0.0,Bluish-Green,1,"December 11th, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,,,,317
206,84.25,Arabica,jesus salazar velasco,Mexico,carajillo café sa de cv,1450,san pedro cotzilnam,JESUS SALAZAR VELASCO,10,1.0,AMECAFE,2012,"September 11th, 2012",JESUS SALAZAR VELASCO,Typica,Semi-washed / Semi-pulped,7.83,7.92,7.67,7.83,7.5,7.75,10.0,10.0,10.0,7.75,0.12,0,0.0,Green,1,"September 11th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1450.0,1450.0,1450.0,10
207,84.25,Arabica,manuel herrera juarez,Mexico,,1170,veracruz,MANUEL HERRERA JUAREZ,20,1.0,AMECAFE,2012,"April 9th, 2012",MANUEL HERRERA JUAREZ,Bourbon,Washed / Wet,7.83,7.83,7.75,7.67,7.83,7.58,10.0,10.0,10.0,7.75,0.12,0,0.0,Green,0,"April 9th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1170.0,1170.0,1170.0,20
208,84.25,Arabica,alfredo bojalil,Mexico,ecomtrading,1400,"la concordia, chiapas",ERNST POHLENZ AGUILAR,250,1.0,AMECAFE,2012,"April 2nd, 2012",ALFREDO BOJALIL,Bourbon,Washed / Wet,7.83,7.92,7.67,7.75,7.5,7.75,10.0,10.0,10.0,7.83,0.1,0,0.0,Bluish-Green,4,"April 2nd, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1400.0,1400.0,1400.0,250
209,84.25,Arabica,afca,Uganda,bukonzo joint cfs,1700m,kasese,,1,60.0,Africa Fine Coffee Association,2012,"February 13th, 2012",AFCA,Other,Natural / Dry,8.17,7.75,7.58,7.67,7.83,7.58,10.0,10.0,10.0,7.67,0.13,4,0.0,Green,29,"February 12th, 2013",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1700.0,1700.0,1700.0,60
210,84.17,Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",1700,san marcos,JORGE LEAL,50,69.0,Asociacion Nacional Del Café,2017,"June 1st, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.75,7.83,7.58,7.83,7.67,7.75,10.0,10.0,10.0,7.75,0.13,0,0.0,Green,1,"June 1st, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,1700.0,1700.0,1700.0,3450
211,84.17,Arabica,racafe & cia s.c.a,Colombia,racafe & cia s.c.a,,huila,La Plata,250,70.0,Almacafé,2016,"August 19th, 2016",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.83,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.75,0.0,0,0.0,Green,2,"August 19th, 2017",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,,,,17500
212,84.17,Arabica,wayner jimenez,Costa Rica,exclusive coffee - costa rica,1700,tarrazu,Los Angeles Micro-Mill (Ricardo Calderón),150,69.0,Specialty Coffee Association of Costa Rica,2016,"August 19th, 2016",Wayner Jimenez,Caturra,Washed / Wet,7.92,7.75,7.67,7.67,7.5,7.67,10.0,10.0,10.0,8.0,0.09,0,0.0,Bluish-Green,2,"August 19th, 2017",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1700.0,1700.0,1700.0,10350
213,84.17,Arabica,juan luis alvarado romero,Guatemala,exportcafe,3664,huehuetenango,DARY COLMAN ALVARADO VILLATORO,275,69.0,Asociacion Nacional Del Café,2016,"June 23rd, 2016",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.75,7.75,7.58,8.0,7.67,7.83,10.0,10.0,10.0,7.58,0.11,0,0.0,Green,6,"June 23rd, 2017",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1116.7872,1116.7872,1116.7872,18975
214,84.17,Arabica,juan luis alvarado romero,Guatemala,cafcom,1565,solola,FERNANDO FAHSEN,377,69.0,Asociacion Nacional Del Café,2016,"June 1st, 2016",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.75,7.92,7.58,7.92,7.67,7.67,10.0,10.0,10.0,7.67,0.1,0,1.0,Green,10,"June 1st, 2017",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,1565.0,1565.0,1565.0,26013
215,84.17,Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",3280,norte,CHAPULTEPEC,130,69.0,Asociacion Nacional Del Café,2016,"June 1st, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.58,7.83,7.58,7.83,7.83,7.67,10.0,10.0,10.0,7.83,0.1,0,0.0,Green,2,"June 1st, 2017",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,3280.0,3280.0,3280.0,8970
216,84.17,Arabica,racafe & cia s.c.a,Colombia,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,275,70.0,Almacafé,2015,"August 18th, 2015",Racafe & Cia S.C.A,Caturra,Washed / Wet,8.0,7.5,7.5,7.67,8.0,7.83,10.0,10.0,10.0,7.67,0.0,0,0.0,Bluish-Green,0,"August 17th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600.0,1950.0,1775.0,19250
217,84.17,Arabica,cooperativa el gorrion r.l,Nicaragua,cooperativa el gorrion r.l,de 900 a 1100 msnm,jinotega,COOPERATIVA EL GORRION RL,275,2.0,Specialty Coffee Association of Costa Rica,2015,"August 3rd, 2015",COOPERATIVA EL GORRION R.L,Caturra,Natural / Dry,7.67,7.83,7.83,7.5,7.67,7.83,10.0,10.0,10.0,7.83,0.12,0,0.0,Bluish-Green,0,"August 2nd, 2016",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,900.0,1100.0,1000.0,550
218,84.17,Arabica,cafebras,Brazil,cafebras comercio de cafés do brasil sa,1150,cerrado,MAURO GALHERI,305,59.0,Brazil Specialty Coffee Association,2015,"April 24th, 2015",Cafebras,Catuai,Natural / Dry,7.67,7.75,7.75,7.67,7.83,7.75,10.0,10.0,10.0,7.75,0.0,0,0.0,,16,"April 23rd, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1150.0,1150.0,1150.0,17995
219,84.17,Arabica,"ceca, s.a.",Costa Rica,"ceca,s.a.",1850,tarrazu,Martin Gutierrez,320,69.0,Specialty Coffee Ass,2014,"April 10th, 2015","CECA,S.A.",Caturra,Washed / Wet,7.67,7.75,7.67,7.75,7.5,8.0,10.0,10.0,10.0,7.83,0.0,0,0.0,Blue-Green,0,"April 9th, 2016",Specialty Coffee Association of Costa Rica,528ec9cf40c1bab91ce8fae8e80c50f46627d2c6,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1850.0,1850.0,1850.0,22080
220,84.17,Arabica,asefa dukamo keroma,Ethiopia,asefa dukamo coffee plantetion,1545-1668 masl,snnprg; kafa; telo woreda; shada kebele,Tariku Oljira,320,60.0,METAD Agricultural Development plc,2014,"March 26th, 2015",Asefa Dukamo Keroma,Gesha,Natural / Dry,7.5,7.92,7.58,7.83,7.75,7.83,10.0,10.0,10.0,7.75,0.1,0,0.0,Green,5,"March 25th, 2016",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1545.0,1668.0,1606.5,19200
221,84.17,Arabica,selian coffee estate,"Tanzania, United Republic Of",selian coffee estate,1400,arusha,Selian Coffee Estate,10,60.0,Africa Fine Coffee Association,2014,"December 12th, 2014",Selian Coffee Estate,Other,Washed / Wet,7.92,7.75,7.75,7.75,7.75,7.58,10.0,10.0,10.0,7.67,0.13,0,0.0,Green,0,"December 12th, 2015",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1400.0,1400.0,1400.0,600
